Name,State,Value,Number_of_Observations_POR,Percentile_POR
Burnt Mountain,WA,0.1,25,8.0
Vacas Locas,NM,4.1,22,13.636363636363635
Marlette Lake,NV,9.7,46,32.608695652173914
Roaring River,OR,3.9,44,4.545454545454546
Lakeview Ridge,MT,2.6,46,2.1739130434782608
Hemlock Butte,ID,15.3,40,0.0
Twelvemile Creek,MT,5.8,57,3.508771929824561
Susitna Valley High,AK,4.8,37,21.62162162162162
Cascade #2,CO,1.0,34,0.0
Gooseberry RS,UT,1.5,45,0.0
Bear Mountain,ID,22.7,43,9.30232558139535
Wilbur Bench,UT,4.3,45,20.0
Potato Hill,WA,9.6,41,2.4390243902439024
Hilts Creek,ID,9.3,42,71.42857142857143
Joe Wright,CO,6.8,46,0.0
Cochetopa Pass,CO,2.9,20,40.0
Lynx Pass,CO,3.3,43,2.3255813953488373
Nez Perce Camp,MT,6.8,48,8.333333333333332
Loveland Basin,CO,7.0,32,3.125
Blackwater,WY,16.1,43,60.46511627906976
Middle Creek,CO,5.5,44,11.363636363636363
Monitor Pass,CA,7.2,34,35.294117647058826
Summer Rim,OR,2.6,46,0.0
Bettles Field,AK,2.4,44,9.090909090909092
Mt. Howard,OR,7.4,44,15.909090909090908
Rainy Pass,WA,27.2,42,59.523809523809526
Midway Valley,UT,10.7,43,30.23255813953488
Trout Creek,UT,3.4,46,10.869565217391305
Currant Creek,UT,3.7,46,17.391304347826086
Spencer Meadow,WA,7.0,41,7.317073170731707
Medano Pass,CO,3.0,29,24.137931034482758
Spud Mountain,CO,7.0,38,7.894736842105263
Chepeta,UT,6.2,44,18.181818181818183
Hagans Meadow,CA,9.1,46,41.30434782608695
New Crescent Lake,OR,3.6,44,13.636363636363635
Whiskey Ck,CO,2.6,44,6.8181818181818175
Puhi Flat,ID,9.4,43,9.30232558139535
Somsen Ranch,ID,5.4,44,4.545454545454546
June Lake,WA,9.3,40,12.5
Columbine,CO,11.2,44,9.090909090909092
Prairie,ID,0.9,38,5.263157894736842
Indian Creek,WY,13.8,42,42.857142857142854
Sucker Creek,WY,5.4,46,8.695652173913043
Clover Meadow,MT,7.1,46,6.521739130434782
Crystal Lake,MT,5.6,46,15.217391304347828
County Line,OR,0.4,44,9.090909090909092
Slumgullion,CO,4.6,44,6.8181818181818175
Dollarhide Summit,ID,17.2,43,65.11627906976744
Beaver Creek,MT,9.9,58,29.310344827586203
Berthoud Summit,CO,7.1,46,6.521739130434782
