Name,State,Value,Number_of_Observations_POR,Percentile_POR
Silver Creek Divide,NM,11.5,44,40.909090909090914
Grayback,CO,8.0,20,15.0
Kendall R.S.,WY,15.200000000000001,39,89.74358974358975
Kings Cabin,UT,7.1000000000000005,46,30.434782608695656
Cole Canyon,WY,7.999999999999999,24,83.33333333333334
Castle Valley,UT,11.0,44,50.0
Disaster Peak,NV,11.1,44,36.36363636363637
Puhi Flat,ID,27.5,43,69.76744186046511
Lizard Head Pass,CO,7.300000000000001,44,13.636363636363635
Echo Lake,CO,6.2,26,42.30769230769231
Monument Creek,AK,5.8999999999999995,40,90.0
Grassy Lake,WY,26.5,44,43.18181818181818
Bogus Basin,ID,17.700000000000003,25,48.0
Cool Creek,ID,46.599999999999994,40,60.0
Black Bear,MT,28.700000000000003,46,54.347826086956516
Moonshine,ID,12.7,43,88.37209302325581
Brown Duck,UT,13.3,46,54.347826086956516
Railroad Overpass,OR,25.200000000000003,43,18.6046511627907
Cascade Mountain,UT,11.8,22,18.181818181818183
Draw Creek,NV,11.3,41,48.78048780487805
Tizer Basin,MT,11.7,36,100.0
Rainy Pass,WA,48.400000000000006,43,93.02325581395348
Blind Bull Sum,WY,14.5,44,61.36363636363637
Trapper Lake,CO,9.1,39,5.128205128205128
Lake Eldora,CO,11.0,46,41.30434782608695
Savage Pass,ID,31.6,41,92.6829268292683
Lone Cone,CO,11.3,44,22.727272727272727
Rabbit Ears,CO,15.5,38,7.894736842105263
Hannagan Meadows,AZ,9.8,44,34.090909090909086
North Costilla,NM,2.3,45,2.2222222222222223
Long Lake,AK,83.8,25,84.0
Red River Pass #2,NM,0.9000000000000004,45,0.0
Big Bend,NV,8.1,46,50.0
El Diente Peak,CO,10.3,38,21.052631578947366
Combination,MT,11.4,45,100.0
Hayden Fork,UT,14.0,46,41.30434782608695
Bear Canyon,ID,20.5,43,93.02325581395348
Gutz Peak,UT,15.1,20,60.0
Lasal Mountain,UT,10.0,43,18.6046511627907
Atlanta Summit,ID,28.099999999999998,44,70.45454545454545
Parker Peak,WY,23.2,44,97.72727272727273
Hidden Lake,ID,45.900000000000006,24,58.333333333333336
Hole-in-Rock,UT,5.1,39,25.64102564102564
Mount Crag,WA,45.7,34,32.35294117647059
Long Valley,ID,14.999999999999998,23,73.91304347826086
Timpanogos Divide,UT,18.4,46,50.0
Big Meadow,NV,20.8,41,56.09756097560976
Galena Summit,ID,18.0,42,78.57142857142857
Porphyry Creek,CO,10.3,46,41.30434782608695
Moose Creek,ID,19.400000000000002,43,86.04651162790698
Darkhorse Lake,MT,26.599999999999998,44,93.18181818181817
Beartooth Lake,WY,23.799999999999997,44,93.18181818181817
Leavitt Lake,CA,35.5,35,48.57142857142857
Greenpoint,OR,56.5,41,73.17073170731707
Battle Mountain,WY,9.8,39,28.205128205128204
Sylvan Lake,WY,21.900000000000002,44,88.63636363636364
Virginia Lakes Ridge,CA,20.5,46,65.21739130434783
Togwotee Pass,WY,25.4,44,88.63636363636364
Hansen Sawmill,WY,7.9,44,93.18181818181817
Thaynes Canyon,UT,14.299999999999999,36,27.77777777777778
Tepee Creek,MT,12.700000000000001,46,80.43478260869566
